id,sale_warn,sale_warn_msg,use_parent_address,street,supplier,city,user_id,zip,title,function,country_id/id,company_id,parent_id/id,type,email,is_company,website,lang,fax,street2,phone,ref,active,tz,customer,credit_limit,mobile,opt_out,notify_email,property_payment_term_id/id,property_account_receivable_id,property_account_payable_id,property_stock_supplier/id,category_id/id,name2,eev_member,eev_number,eev_alarm,region_id/id,pobox_nr,pobox_zip,pobox_city,companytype,headquarter_id/id,mailing_email,mailing,department,lastname,firstname,partner_invoicing_id/id,influence,partner_state
partner_1000,no-message,,FALSE,,false,Oetwil am See,rhu,8618,,,base.ch,Swisslux AG,,contact,,TRUE,,de_DE,,,,1000,true,Europe/Zurich,true,0,,TRUE,none,scenario.account_payment_term_30dn,1100,2000,stock.stock_location_suppliers,,,FALSE,0,FALSE,slx_region_-2144060038,,,,,,,0,,Bauherr / Interessent privat (Deutsch),,,,
partner_10001,no-message,,FALSE,Elektrounternehmung,false,Wohlen AG,mle,5610,,,base.ch,Swisslux AG,,contact,info@jostwohlen.ch,TRUE,,de_DE,+41 56 618 77 70,Bremgarterstrasse 62,+41 56 618 77 77,10001,true,Europe/Zurich,true,3000,,TRUE,none,scenario.account_payment_term_eev,1100,2000,stock.stock_location_suppliers,"scenario.partner_category_30,scenario.partner_category_6",,TRUE,5100,FALSE,slx_region_-2144060050,,,,,,,0,,Jost Wohlen AG,,,,
partner_10003,no-message,,FALSE,Elektro - Fachgeschäft,false,Thalwil,dla,8800,,,base.ch,Swisslux AG,,contact,info@elektro-abderhalden.ch,TRUE,www.elektro-abderhalden.ch,de_DE,+41 44 7200433,Gotthardstrasse 45,+41 44 7200453,10003,true,Europe/Zurich,true,3000,,TRUE,none,scenario.account_payment_term_eev,1100,2000,stock.stock_location_suppliers,scenario.partner_category_6,,TRUE,8001,FALSE,slx_region_-2144060016,,,,,,1,0,,E. Abderhalden,,,,
partner_10013,no-message,,FALSE,Elektrotechnik,false,Arlesheim,rhu,4144,,,base.ch,Swisslux AG,,contact,info@pevogmbh.ch,TRUE,,de_DE,+41 61 702 00 21,Baselstrasse 10a,+41 61 702 00 22,10013,true,Europe/Zurich,true,3000,,TRUE,none,scenario.account_payment_term_eev,1100,2000,stock.stock_location_suppliers,"scenario.partner_category_10,scenario.partner_category_6",,TRUE,4196,FALSE,slx_region_-2144060030,,,,,,1,0,,PEVO GmbH,,,,
partner_1002,no-message,,FALSE,,false,Oetwil am See,mse,8618,,,base.ch,Swisslux AG,,contact,,TRUE,,fr_FR,,,,1002,true,Europe/Zurich,true,0,,TRUE,none,scenario.account_payment_term_30dn,1100,2000,stock.stock_location_suppliers,,,FALSE,0,FALSE,slx_region_-2144060041,,,,,,,0,,Bauherr / Interessent privat (Franz.),,,,
partner_10026,warning,"Adress\'e4nderung telefonisch Frau Leemann vom 06.03.03:
 Umgezogen von Freiestrasse 13 nach Quellenstrasse 2 in Uster
ACHTUNG !!!!!! Hat \'fcber Winterhalter und Fenner einmal ein RC-plus aus Deutschland (Kremser) zum Austausch retourniert !!!!!!!!!! (LS 2044614, 19.02.04)
 ACHTUNG !!!!!! Hat \'fcber Otto-Fischer am 24.01.07 einen PD2 360 AP MAster (6N06) in Verpackung eines PD4-RC/M-AP aus Frankreich retourniert.....




",FALSE,Uster West 8,false,Uster,rhu,8610,,,base.ch,Swisslux AG,,contact,uster@schibli.com,TRUE,,de_DE,+41 43 399 22 24,,+41 43 399 22 22,10026,true,Europe/Zurich,true,3000,,TRUE,none,scenario.account_payment_term_30dn,1100,2000,stock.stock_location_suppliers,scenario.partner_category_6,,TRUE,8610,TRUE,slx_region_-2144060038,,,,,,,1,,Hans K. Schibli AG,,,,ST1
partner_10027,no-message,,FALSE,Impianti elettrici e telecomunicazioni,false,Losone,sgi,6616,,,base.ch,Swisslux AG,,contact,info@forneraelettricita.ch,TRUE,,it_IT,+41 91 7919192,via Municipio 4,+41 91 7919191,10027,true,Europe/Zurich,true,3000,,TRUE,none,scenario.account_payment_term_eev,1100,2000,stock.stock_location_suppliers,scenario.partner_category_6,,TRUE,6144,FALSE,slx_region_-2144060020,1064,,,,,1,0,,Fornera Elettricità,,,,
partner_10029,warning,"
Achtung: Zahlungen pr\'fcfen!




",FALSE,Zwillikerstrasse 1,false,Affoltern am Albis,dla,8910,,,base.ch,Swisslux AG,,contact,info@langelektro.ch,TRUE,,de_DE,+41 44 7600583,,+41 44 7618282,10029,true,Europe/Zurich,true,3000,,TRUE,none,scenario.account_payment_term_30dn,1100,2000,stock.stock_location_suppliers,scenario.partner_category_6,,FALSE,0,FALSE,slx_region_-2144060021,,,,,,1,1,,Elektro Dölf Lang GmbH,,,,
partner_10038,no-message,,FALSE,Neudorfstrasse 2,false,Römerswil LU,mle,6027,,,base.ch,Swisslux AG,,contact,info@elektro-studer.ch,TRUE,www.elektro-studer.ch,de_DE,+41 41 910 50 10,,+41 41 910 15 10,10038,true,Europe/Zurich,true,3000,,TRUE,none,scenario.account_payment_term_eev,1100,2000,stock.stock_location_suppliers,"scenario.partner_category_10,scenario.partner_category_6",,TRUE,6241,FALSE,slx_region_-2144060042,,,,,,1,1,,Studer Erwin Elektro AG,,,,
partner_10041,warning,"
Lieferadresse: Casella postale 83\b0

\lang2055 Geh\'f6rt der Etavis-Gruppe

Auftragsrabatte: 20 % +
ab Fr. \tab 2'000\tab 1 %
ab Fr. \tab 5'000 \tab 2 %
ab Fr. \tab 10'000 \tab 3 %
ab Fr. \tab 20'000 \tab 4 %
ab Fr. \tab 30'000\tab 5 %
ab Fr. \tab 40'000\tab 6 %
ab Fr. \tab 50'000\tab 7 %\lang1031




",FALSE,Via Boschina 5,false,Pregassona,sgi,6963,,,base.ch,Swisslux AG,,contact,lugano@etavis.ch,TRUE,,it_IT,+41 91 973 31 10,,+41 91 973 31 11,10041,true,Europe/Zurich,true,3000,,TRUE,none,scenario.account_payment_term_60dn45d3s,1100,2000,stock.stock_location_suppliers,"scenario.partner_category_15,scenario.partner_category_30,scenario.partner_category_6",,FALSE,0,FALSE,slx_region_-2144060019,,,,,,1,0,,ETAVIS Elettro-Impianti SA,,,,
partner_10045,warning,"
Geh\'f6rt der Etavis-Gruppe

Auftragsrabatte: 20 % +
ab Fr. \tab 2'000\tab 1 %
ab Fr. \tab 5'000 \tab 2 %
ab Fr. \tab 10'000 \tab 3 %
ab Fr. \tab 20'000 \tab 4 %
ab Fr. \tab 30'000\tab 5 %
ab Fr. \tab 40'000\tab 6 %
ab Fr. \tab 50'000\tab 7 %\lang1031




",FALSE,Breitenstrasse 15,false,Altendorf,dla,8852,,,base.ch,Swisslux AG,,contact,altendorf@etavis.ch,TRUE,,de_DE,+41 55 451 56 55,,+41 55 451 56 56,10045,true,Europe/Zurich,true,3000,,TRUE,none,scenario.account_payment_term_60dn45d3s,1100,2000,stock.stock_location_suppliers,"scenario.partner_category_15,scenario.partner_category_30,scenario.partner_category_6",,FALSE,0,FALSE,slx_region_-2144060006,,,,,,,0,,ETAVIS AG,,,,
partner_10049,warning,"
Geh\'f6rt der Etavis-Gruppe

Auftragsrabatte: 20 % +
ab Fr. \tab 2'000\tab 1 %
ab Fr. \tab 5'000 \tab 2 %
ab Fr. \tab 10'000 \tab 3 %
ab Fr. \tab 20'000 \tab 4 %
ab Fr. \tab 30'000\tab 5 %
ab Fr. \tab 40'000\tab 6 %
ab Fr. \tab 50'000\tab 7 %\lang1031




",FALSE,Fröschenweidstrasse 6,false,Winterthur,rhu,8404,,,base.ch,Swisslux AG,,contact,winterthur@etavis.ch,TRUE,,de_DE,+41 52 235 00 01,,+41 52 235 00 00,10049,true,Europe/Zurich,true,3000,,TRUE,none,scenario.account_payment_term_60dn45d3s,1100,2000,stock.stock_location_suppliers,"scenario.partner_category_15,scenario.partner_category_30,scenario.partner_category_6",,FALSE,0,FALSE,slx_region_-2144059995,3198,8404,,,,1,0,,ETAVIS AG,,,,
