id,building_project_id:id,name
scenario.crm_lead_dummy1,scenario.buildingproject_-2142127573,Dummy opportunity for Weitere Beratung ( 2e Etape )
scenario.crm_lead_dummy2,scenario.buildingproject_-2142019769,Dummy opportunity for Bedarfsaufnahme
scenario.crm_lead_dummy3,scenario.buildingproject_-2142174010,Dummy opportunity for Hobosensor auswerten
scenario.crm_lead_dummy4,scenario.buildingproject_-2142320452,Dummy opportunity for Fehler in Pilotprojekten
scenario.crm_lead_dummy5,scenario.buildingproject_-2142020697,Dummy opportunity for Martin Durrer HHM Swisslux Astra LED
scenario.crm_lead_dummy6,scenario.buildingproject_-2142447145,Dummy opportunity for Support vor Ort
scenario.crm_lead_dummy7,scenario.buildingproject_-2142025227,Dummy opportunity for Planungsberatung Mobile
scenario.crm_lead_dummy8,scenario.buildingproject_-2142055011,Dummy opportunity for Besprechung Beleuchtungskonzept KSGR
scenario.crm_lead_dummy9,scenario.buildingproject_-2142308746,Dummy opportunity for IL-C vorstellen Konzept + Leuchte bemustern
scenario.crm_lead_dummy10,scenario.buildingproject_-2142349547,Dummy opportunity for Support vor Ort
scenario.crm_lead_dummy11,scenario.buildingproject_-2142030426,Dummy opportunity for Besprechung + Bemusterung IL-C
scenario.crm_lead_dummy12,scenario.buildingproject_-2142031560,Dummy opportunity for Sämtliche KNX Melder mit Dongle vorbereiten
scenario.crm_lead_dummy13,scenario.buildingproject_-2142067664,Dummy opportunity for Leuchte überbringen
scenario.crm_lead_dummy14,scenario.buildingproject_-2142262245,Dummy opportunity for Planerbesuch / Objekteberatung
scenario.crm_lead_dummy15,scenario.buildingproject_-2142553311,Dummy opportunity for Melder aufnehmen
scenario.crm_lead_dummy16,scenario.buildingproject_-2142401049,Dummy opportunity for Support vor Ort
scenario.crm_lead_dummy17,scenario.buildingproject_-2142298462,Dummy opportunity for Support vorort
scenario.crm_lead_dummy18,scenario.buildingproject_-2142037354,"Dummy opportunity for Kontaktaufbau, Präsentation IL-C"
scenario.crm_lead_dummy19,scenario.buildingproject_-2142024242,Dummy opportunity for Beratung vor Ort 
scenario.crm_lead_dummy20,scenario.buildingproject_-2142409491,Dummy opportunity for Kontaktpflege / gemeinsamer Znüni
scenario.crm_lead_dummy21,scenario.buildingproject_-2142387680,Dummy opportunity for Beratung vor Ort 
scenario.crm_lead_dummy22,scenario.buildingproject_-2142142951,Dummy opportunity for IL-C Konzept aufzeigen
scenario.crm_lead_dummy23,scenario.buildingproject_-2143450581,Dummy opportunity for Support vor Ort: Kinderhort Ilgen
scenario.crm_lead_dummy24,scenario.buildingproject_-2142290178,Dummy opportunity for Objektberatung und Kontaktpflege 
scenario.crm_lead_dummy25,scenario.buildingproject_-2142164625,Dummy opportunity for Kontaktpflege / gemeinsamer Znüni
scenario.crm_lead_dummy26,scenario.buildingproject_-2142821607,"Dummy opportunity for Kontaktpflege, Offerten 2014 / 2015"
scenario.crm_lead_dummy27,scenario.buildingproject_-2142048144,Dummy opportunity for Objektbesprechung
scenario.crm_lead_dummy28,scenario.buildingproject_-2142604665,Dummy opportunity for Kontaktplege / Weihnachtsbesuch
scenario.crm_lead_dummy29,scenario.buildingproject_-2142224558,Dummy opportunity for Znüni
scenario.crm_lead_dummy30,scenario.buildingproject_-2142203505,Dummy opportunity for Swisslux Leuchten
scenario.crm_lead_dummy31,scenario.buildingproject_-2142057842,Dummy opportunity for Kontaktpflege / gemeinsames Mittagessen
scenario.crm_lead_dummy32,scenario.buildingproject_-2142181078,Dummy opportunity for Weihnachtsbesuch
scenario.crm_lead_dummy33,scenario.buildingproject_-2142418191,Dummy opportunity for Weihnachtsbesuch
scenario.crm_lead_dummy34,scenario.buildingproject_-2142387880,Dummy opportunity for Weihnachtsbesuch
scenario.crm_lead_dummy35,scenario.buildingproject_-2142074555,Dummy opportunity for Inbetrisbsnahme IL Projekt
scenario.crm_lead_dummy36,scenario.buildingproject_-2142217384,Dummy opportunity for Besprechung Stand Objekt / Abholung der Muster
scenario.crm_lead_dummy37,scenario.buildingproject_-2142064937,Dummy opportunity for Bedarfsaufnahme
scenario.crm_lead_dummy38,scenario.buildingproject_-2142600475,Dummy opportunity for Objektberatung
scenario.crm_lead_dummy39,scenario.buildingproject_-2142065700,Dummy opportunity for projekt IL
scenario.crm_lead_dummy40,scenario.buildingproject_-2142455718,Dummy opportunity for Planungsberatung: konventionelle PiR's einplanen
scenario.crm_lead_dummy41,scenario.buildingproject_-2142038338,Dummy opportunity for Weihnachtsznüni
scenario.crm_lead_dummy42,scenario.buildingproject_-2142341061,Dummy opportunity for Support vor Ort LON
scenario.crm_lead_dummy43,scenario.buildingproject_-2142505290,Dummy opportunity for IBN Beleuchtungssteuerung Bürotrakt Werkhof Waldau
scenario.crm_lead_dummy44,scenario.buildingproject_-2142067683,Dummy opportunity for IL-Konzept vorstellen: Bauherr + Planer
scenario.crm_lead_dummy45,scenario.buildingproject_-2142068135,Dummy opportunity for IL-Konzept vorstellen
scenario.crm_lead_dummy46,scenario.buildingproject_-2142337329,Dummy opportunity for Weihnachtsbesuch
scenario.crm_lead_dummy47,scenario.buildingproject_-2142149579,Dummy opportunity for Pläne checken 
scenario.crm_lead_dummy48,scenario.buildingproject_-2142086937,Dummy opportunity for Support vorort
scenario.crm_lead_dummy49,scenario.buildingproject_-2142064936,Dummy opportunity for IL Beratung
scenario.crm_lead_dummy50,scenario.buildingproject_-2142634323,"Dummy opportunity for Weihnachtsbesuch, Geschenkübergabe"
scenario.crm_lead_dummy51,scenario.buildingproject_-2142126937,Dummy opportunity for Mittagessen Restaurant Freihof
scenario.crm_lead_dummy52,scenario.buildingproject_-2143349839,Dummy opportunity for Weihnachtsbesuch / gemeinsamer Znüni
scenario.crm_lead_dummy53,scenario.buildingproject_-2142363662,Dummy opportunity for Hilfe bei der Inbetriebnahme Winterthur
scenario.crm_lead_dummy54,scenario.buildingproject_-2142282484,Dummy opportunity for Weihnahtsbesuch
scenario.crm_lead_dummy55,scenario.buildingproject_-2142063961,Dummy opportunity for Objektberatung vor Ort
scenario.crm_lead_dummy56,scenario.buildingproject_-2142733749,Dummy opportunity for Bedarfsaufnahme PiR
scenario.crm_lead_dummy57,scenario.buildingproject_-2142270587,Dummy opportunity for Objektberatung
scenario.crm_lead_dummy58,scenario.buildingproject_-2142074559,Dummy opportunity for IL Projekt
scenario.crm_lead_dummy59,scenario.buildingproject_-2142091697,Dummy opportunity for Weihnachtsbesuch
scenario.crm_lead_dummy60,scenario.buildingproject_-2142450653,"Dummy opportunity for Objekte nachfassen, Weihnachtsbesuch"
scenario.crm_lead_dummy61,scenario.buildingproject_-2142174007,Dummy opportunity for Weihnachtsbesuch / Planungsberatung
scenario.crm_lead_dummy62,scenario.buildingproject_-2142525262,Dummy opportunity for Weihnachtsbesuch / Bauprojekt Tandem
scenario.crm_lead_dummy63,scenario.buildingproject_-2142218968,Dummy opportunity for Besprechung Dorfstrasse 23/Endjahresbesuch
scenario.crm_lead_dummy64,scenario.buildingproject_-2142078139,Dummy opportunity for Planungsberatung Beleuchtung Kinderspital
scenario.crm_lead_dummy65,scenario.buildingproject_-2142150472,Dummy opportunity for Kontaktpflege und IL vorstellen 
scenario.crm_lead_dummy66,scenario.buildingproject_-2143005067,Dummy opportunity for Support vor Ort
scenario.crm_lead_dummy67,scenario.buildingproject_-2142373910,Dummy opportunity for Support: INB der neuen TRIOs
scenario.crm_lead_dummy68,scenario.buildingproject_-2142162901,Dummy opportunity for Beratung vorort
scenario.crm_lead_dummy69,scenario.buildingproject_-2142119973,Dummy opportunity for Weihnachtsbesuch 
scenario.crm_lead_dummy70,scenario.buildingproject_-2142087992,Dummy opportunity for Objektberatung Lagerbeleuchtung EM Heiden
scenario.crm_lead_dummy71,scenario.buildingproject_-2142074689,Dummy opportunity for Objektberatung vor Ort Grossbaustelle im Geelig in Gebenstorf
scenario.crm_lead_dummy72,scenario.buildingproject_-2142159360,Dummy opportunity for Evaluation IL-Control für Liegenschaften WBG Eigengrund 
scenario.crm_lead_dummy73,scenario.buildingproject_-2142157472,Dummy opportunity for Info an Objekten
scenario.crm_lead_dummy74,scenario.buildingproject_-2142655038,Dummy opportunity for Support vor Ort
scenario.crm_lead_dummy75,scenario.buildingproject_-2142128835,Dummy opportunity for Koordination und Melderwahl definitiv
scenario.crm_lead_dummy76,scenario.buildingproject_-2142066683,Dummy opportunity for Kontaktpflege / Znüni für alle PL an PL-Sitzung
