id,building_project_id:id,name
scenario.crm_lead_dummy_calls1,scenario.buildingproject_-2144261280,Dummy opportunity for Projekt ist zurückgestellt worden bis Mai 2016
scenario.crm_lead_dummy_calls2,scenario.buildingproject_-2144053652,Dummy opportunity for Termin für Support vor Ort vereinbart
scenario.crm_lead_dummy_calls3,scenario.buildingproject_-2144050051,Dummy opportunity for Probleme mit BWM in Nebenraum
scenario.crm_lead_dummy_calls4,scenario.buildingproject_-2143932499,Dummy opportunity for Immer wieder Melderausfälle
scenario.crm_lead_dummy_calls5,scenario.buildingproject_-2143853753,Dummy opportunity for Rückruf zu ELPA 3 Problem
scenario.crm_lead_dummy_calls6,scenario.buildingproject_-2143818842,"Dummy opportunity for Rücksprache, Bedarf"
scenario.crm_lead_dummy_calls7,scenario.buildingproject_-2143788893,Dummy opportunity for Termin für Support vor Ort koordinieren
scenario.crm_lead_dummy_calls8,scenario.buildingproject_-2143696032,Dummy opportunity for Hat Bedarf im Hotel Chedi
scenario.crm_lead_dummy_calls9,scenario.buildingproject_-2143638393,Dummy opportunity for Telefonische Planungsberatung
scenario.crm_lead_dummy_calls10,scenario.buildingproject_-2143473891,Dummy opportunity for Direktlieferung OK? JA > EM-Kdnr 918051
scenario.crm_lead_dummy_calls11,scenario.buildingproject_-2143444940,Dummy opportunity for Bestellung auslösen
scenario.crm_lead_dummy_calls12,scenario.buildingproject_-2143411418,"Dummy opportunity for Regus, Bahnhofstr. 100"
scenario.crm_lead_dummy_calls13,scenario.buildingproject_-2143349839,Dummy opportunity for Besprechung Vergütung Umtriebsentschädigung
scenario.crm_lead_dummy_calls14,scenario.buildingproject_-2143196749,Dummy opportunity for Div. Abklärungen 
scenario.crm_lead_dummy_calls15,scenario.buildingproject_-2143162591,Dummy opportunity for Hat Bedarf für das EG + noch eine andere Kommission
scenario.crm_lead_dummy_calls16,scenario.buildingproject_-2143119430,Dummy opportunity for Stand Melderausfälle ZKB
scenario.crm_lead_dummy_calls17,scenario.buildingproject_-2143069792,Dummy opportunity for Stand Objekt
scenario.crm_lead_dummy_calls18,scenario.buildingproject_-2143041320,Dummy opportunity for Info betr. V4/V5
