id,sale_warn,sale_warn_msg,use_parent_address,street,supplier,city,user_id,zip,title,function,country_id/id,company_id,parent_id/id,type,email,is_company,website,lang,fax,street2,phone,ref,active,tz,customer,credit_limit,mobile,opt_out,notify_email,property_payment_term_id/id,property_supplier_payment_term_id/id,property_account_receivable_id,property_account_payable_id,property_stock_supplier/id,category_id/id,name2,eev_member,eev_number,eev_alarm,region_id/id,pobox_nr,pobox_zip,pobox_city,companytype,headquarter_id/id,mailing_email,mailing,department,lastname,firstname,partner_invoicing_id/id,influence,partner_state
partner_10367,warning,"
Nur Lieferadresse, Rechnung mit Kunde Nr. 133692 verrechnen!\lang1031\f1




",FALSE,Dreikönigsstrasse 18,true,Zürich,dla,8022,,,base.ch,Swisslux AG,,contact,info@ekz.ch,TRUE,,de_DE,,,+41 58 3595111,10367,true,Europe/Zurich,true,3000,,TRUE,none,scenario.account_payment_term_30dn10d2s,scenario.account_payment_term_30dn,1100,2000,stock.stock_location_suppliers,"scenario.partner_category_10,scenario.partner_category_21,scenario.partner_category_6",,FALSE,,FALSE,slx_region_-2144060003,2254,8022,,,,,1,,Elektrizitätswerke des Kt. Zürich,,,,
partner_10425,warning,"{\rtf1\deff0\nouicompat\splytwnine\htmautsp\plain\ql\f1\fs17\cf1\plain\ql\f1\fs17\cf1\plain\ql{\lang2055\langfe2055\f1\fs17Shop-LogAchtung: bei Gutschriften jeweils Skonto-Abzug manuell vornehmen !!!



",FALSE,Heinrichstrasse 200,true,Zürich,dla,8005,,,base.ch,Swisslux AG,,contact,em-zh@elektro-material.ch,TRUE,www.elektro-material.ch,de_DE,+41 44 278 12 91,,+41 44 278 11 11,10425,true,Europe/Zurich,true,300000,+41 44 2781241,TRUE,none,scenario.account_payment_term_60dn30d3s,scenario.account_payment_term_60dn30d2s,1100,2000,stock.stock_location_suppliers,"scenario.partner_category_22,scenario.partner_category_5",,FALSE,,FALSE,slx_region_-2144060003,,8031,,,,1,0,,Elektro-Material AG,,,,
partner_12851,no-message,,FALSE,Werkstrasse 7,true,Grüningen,rhu,8627,,,base.ch,Swisslux AG,,contact,elektro@kunzag.ch,TRUE,,de_DE,+41 44 9354030,,+41 44 9352442,12851,true,Europe/Zurich,true,3000,,TRUE,none,scenario.account_payment_term_eev,scenario.account_payment_term_30dn,1100,2000,stock.stock_location_suppliers,scenario.partner_category_6,,TRUE,8627,FALSE,slx_region_-2144060038,,,,,,1,1,,Edwin Kunz AG,,,,
partner_13025,warning,{\rtf1\deff0\nouicompat\splytwnine\htmautsp\plain\ql{\field{\fldrslt{\lang2055\langfe2055\u,FALSE,Bernstrasse 89,true,Dietikon 2,rhu,8953,,,base.ch,Swisslux AG,,contact,,TRUE,,de_DE,,,+41 44 743 43 43,13025,true,Europe/Zurich,true,3000,,TRUE,none,scenario.account_payment_term_30dn,scenario.account_payment_term_30dn,1100,2000,stock.stock_location_suppliers,scenario.partner_category_2,,FALSE,,FALSE,slx_region_-2144060021,,8953,,,,,0,,Confiserie Sprüngli AG,,,,
partner_131559,warning,{\rtf1\deff0\nouicompat\splytwnine\htmautsp\plain\ql{\lang2055\,FALSE,Brandstrasse 33,true,Schlieren,rhu,8952,,,base.ch,Swisslux AG,,contact,salesorders@digitalstrom.com,TRUE,,de_DE,+41 44 445 99 01,,+41 44 445 99 00,131559,true,Europe/Zurich,true,0,,TRUE,none,scenario.account_payment_term_30dn,scenario.account_payment_term_30dn,1100,2000,stock.stock_location_suppliers,scenario.partner_category_11,,FALSE,,FALSE,slx_region_-2144060021,,,,,,,0,,digitalSTROM AG,,,,
partner_132379,no-message,,FALSE,Industriestr. 19,true,Bergdietikon,rhu,8962,,,base.ch,Swisslux AG,,contact,,TRUE,www.tesa.ch/www.tesa.com,de_DE,+41 44 7412672,,+41 44 7443111,132379,true,Europe/Zurich,true,0,,TRUE,none,scenario.account_payment_term_30dn,scenario.account_payment_term_30dn,1100,2000,stock.stock_location_suppliers,scenario.partner_category_2,,FALSE,,FALSE,slx_region_-2144060021,,,,,,,0,,Tesa Tape Schweiz AG,,,,
partner_132486,no-message,,FALSE,Wilerstrasse 73,true,Gossau SG,mka,9200,,,base.ch,Swisslux AG,,contact,info@astra-led.ch,TRUE,www.astra-led.ch,de_DE,,,+41 71 388 30 20,132486,true,Europe/Zurich,true,0,,TRUE,none,scenario.account_payment_term_30dn,scenario.account_payment_term_30dn,1100,2000,stock.stock_location_suppliers,scenario.partner_category_8,,FALSE,,FALSE,slx_region_-2142967379,,,,,,1,0,,Astra LED GmbH,,,,
partner_132497,no-message,,FALSE,Asylstrasse 24,true,Uster,rhu,8610,,,base.ch,Swisslux AG,,contact,,TRUE,www.wagerenhof.ch,de_DE,,,+41 44 9051311,132497,true,Europe/Zurich,true,0,,TRUE,none,scenario.account_payment_term_30dn,scenario.account_payment_term_30dn,1100,2000,stock.stock_location_suppliers,,,FALSE,,FALSE,slx_region_-2144060038,,,,,,,0,,Stiftung Wagerenhof,,,,
partner_132503,no-message,,FALSE,(vorm. OpenERP SA),true,Grand-Rosière,,1367,,,base.be,Swisslux AG,,contact,,TRUE,www.openerp.com/,fr_FR,,"Chaussée de Namur, 40",+32 81 813700,132503,true,Europe/Zurich,true,0,,TRUE,none,scenario.account_payment_term_30dn,,1100,2000,stock.stock_location_suppliers,,,FALSE,,FALSE,slx_region_-2143786434,,,,,,,0,,Odoo SA,,,,
partner_133459,no-message,,FALSE,Wilerstrasse 73,true,Gossau SG,mka,9200,,,base.ch,Swisslux AG,,contact,kontakt@hsi-ag.ch,TRUE,www.hsi-ag.ch,de_DE,,,+41 71 845 65 65,133459,true,Europe/Zurich,true,0,,TRUE,none,scenario.account_payment_term_30dn,scenario.account_payment_term_30dn,1100,2000,stock.stock_location_suppliers,,,FALSE,,FALSE,slx_region_-2142967386,,,,,,,0,,HSi Elektronik AG,,,,
